2007 Federal Election Senate First Preferences By Polling Place for Division 139 [Event:13745 Phase:FinalResults Generated:2008-09-03T12:46:17 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,139,Parkes,1075,Breeza,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,139,Parkes,1075,Breeza,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,139,Parkes,1075,Breeza,P,18597,0,P Ticket Votes,,0
NSW,139,Parkes,1075,Breeza,P,18500,1,"WOLDRING, Klaas",,0
NSW,139,Parkes,1075,Breeza,P,18501,2,"BRADLEY, Max",,0
NSW,139,Parkes,1075,Breeza,Q,18594,0,Q Ticket Votes,The Fishing Party,1
NSW,139,Parkes,1075,Breeza,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,139,Parkes,1075,Breeza,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,139,Parkes,1075,Breeza,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),1
NSW,139,Parkes,1075,Breeza,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1075,Breeza,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1075,Breeza,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1075,Breeza,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1075,Breeza,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1075,Breeza,S,18586,0,S Ticket Votes,One Nation,1
NSW,139,Parkes,1075,Breeza,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,139,Parkes,1075,Breeza,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,139,Parkes,1075,Breeza,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,139,Parkes,1075,Breeza,S,17830,4,"FREW, Andy",One Nation,0
NSW,139,Parkes,1075,Breeza,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1075,Breeza,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1075,Breeza,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1075,Breeza,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,2
NSW,139,Parkes,1075,Breeza,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,0
NSW,139,Parkes,1075,Breeza,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,139,Parkes,1075,Breeza,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,139,Parkes,1075,Breeza,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,139,Parkes,1075,Breeza,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,139,Parkes,1075,Breeza,V,18576,0,V Ticket Votes,,0
NSW,139,Parkes,1075,Breeza,V,17217,1,"TINYOW, Walter",,0
NSW,139,Parkes,1075,Breeza,V,17218,2,"CHAN, Maria",,0
NSW,139,Parkes,1075,Breeza,W,18580,0,W Ticket Votes,Labor,28
NSW,139,Parkes,1075,Breeza,W,17476,1,"ARBIB, Mark",Labor,1
NSW,139,Parkes,1075,Breeza,W,17477,2,"CAMERON, Doug",Labor,0
NSW,139,Parkes,1075,Breeza,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,139,Parkes,1075,Breeza,W,17479,4,"ESBER, Pierre",Labor,0
NSW,139,Parkes,1075,Breeza,W,17481,5,"SEATON, Fiona",Labor,0
NSW,139,Parkes,1075,Breeza,W,17482,6,"JAMES, Pauline",Labor,0
NSW,139,Parkes,1075,Breeza,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,139,Parkes,1075,Breeza,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,139,Parkes,1075,Breeza,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,139,Parkes,1075,Breeza,Y,18598,0,Y Ticket Votes,Carers Alliance,0
NSW,139,Parkes,1075,Breeza,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,139,Parkes,1075,Breeza,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,139,Parkes,1075,Breeza,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,139,Parkes,1075,Breeza,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,139,Parkes,1075,Breeza,UG,18493,1,"NADAS, Paula",Independent,0
NSW,139,Parkes,1075,Breeza,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,139,Parkes,1075,Breeza,UG,17837,3,"NERO, Silvana",Independent,0
NSW,139,Parkes,1075,Breeza,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,139,Parkes,1075,Breeza,ZZ,0,99,INFORMAL,,1
NSW,139,Parkes,1076,Bugaldie,A,18583,0,A Ticket Votes,Liberal/Nationals,53
NSW,139,Parkes,1076,Bugaldie,A,17820,1,"COONAN, Helen",Liberal,0
NSW,139,Parkes,1076,Bugaldie,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,139,Parkes,1076,Bugaldie,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,139,Parkes,1076,Bugaldie,A,17823,4,"LEES, Murray",Nationals,0
NSW,139,Parkes,1076,Bugaldie,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,139,Parkes,1076,Bugaldie,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,139,Parkes,1076,Bugaldie,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,139,Parkes,1076,Bugaldie,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,139,Parkes,1076,Bugaldie,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,139,Parkes,1076,Bugaldie,C,18582,0,C Ticket Votes,Family First,0
NSW,139,Parkes,1076,Bugaldie,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,139,Parkes,1076,Bugaldie,C,17819,2,"GRAY, Kathy",Family First,0
NSW,139,Parkes,1076,Bugaldie,D,18596,0,D Ticket Votes,Pauline,3
NSW,139,Parkes,1076,Bugaldie,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,139,Parkes,1076,Bugaldie,D,18499,2,"CARTER, John E",Pauline,0
NSW,139,Parkes,1076,Bugaldie,E,18593,0,E Ticket Votes,Climate Change Coalition,0
NSW,139,Parkes,1076,Bugaldie,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,139,Parkes,1076,Bugaldie,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,139,Parkes,1076,Bugaldie,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,139,Parkes,1076,Bugaldie,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,139,Parkes,1076,Bugaldie,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,139,Parkes,1076,Bugaldie,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,139,Parkes,1076,Bugaldie,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,139,Parkes,1076,Bugaldie,G,18581,0,G Ticket Votes,The Greens,3
NSW,139,Parkes,1076,Bugaldie,G,17433,1,"NETTLE, Kerry",The Greens,0
NSW,139,Parkes,1076,Bugaldie,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,139,Parkes,1076,Bugaldie,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,139,Parkes,1076,Bugaldie,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,139,Parkes,1076,Bugaldie,G,17441,5,"HO, Christina",The Greens,0
NSW,139,Parkes,1076,Bugaldie,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,139,Parkes,1076,Bugaldie,H,18599,0,H Ticket Votes,What Women Want (Australia),0
NSW,139,Parkes,1076,Bugaldie,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,139,Parkes,1076,Bugaldie,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,139,Parkes,1076,Bugaldie,I,18584,0,I Ticket Votes,LDP,0
NSW,139,Parkes,1076,Bugaldie,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,139,Parkes,1076,Bugaldie,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,139,Parkes,1076,Bugaldie,J,18579,0,J Ticket Votes,,0
NSW,139,Parkes,1076,Bugaldie,J,17444,1,"BRYCE, Ian R",,0
NSW,139,Parkes,1076,Bugaldie,J,17445,2,"AUGUST, John P",,0
NSW,139,Parkes,1076,Bugaldie,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,139,Parkes,1076,Bugaldie,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,139,Parkes,1076,Bugaldie,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,139,Parkes,1076,Bugaldie,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,139,Parkes,1076,Bugaldie,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,139,Parkes,1076,Bugaldie,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,139,Parkes,1076,Bugaldie,M,18592,0,M Ticket Votes,Democrats,0
NSW,139,Parkes,1076,Bugaldie,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,139,Parkes,1076,Bugaldie,M,18289,2,"KING, David",Democrats,0
NSW,139,Parkes,1076,Bugaldie,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,139,Parkes,1076,Bugaldie,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,0
NSW,139,Parkes,1076,Bugaldie,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,139,Parkes,1076,Bugaldie,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,139,Parkes,1076,Bugaldie,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,3
NSW,139,Parkes,1076,Bugaldie,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,139,Parkes,1076,Bugaldie,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,139,Parkes,1076,Bugaldie,P,18597,0,P Ticket Votes,,0
NSW,139,Parkes,1076,Bugaldie,P,18500,1,"WOLDRING, Klaas",,0
NSW,139,Parkes,1076,Bugaldie,P,18501,2,"BRADLEY, Max",,0
NSW,139,Parkes,1076,Bugaldie,Q,18594,0,Q Ticket Votes,The Fishing Party,0
NSW,139,Parkes,1076,Bugaldie,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,139,Parkes,1076,Bugaldie,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,139,Parkes,1076,Bugaldie,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1076,Bugaldie,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1076,Bugaldie,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1076,Bugaldie,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1076,Bugaldie,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1076,Bugaldie,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1076,Bugaldie,S,18586,0,S Ticket Votes,One Nation,0
NSW,139,Parkes,1076,Bugaldie,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,139,Parkes,1076,Bugaldie,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,139,Parkes,1076,Bugaldie,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,139,Parkes,1076,Bugaldie,S,17830,4,"FREW, Andy",One Nation,0
NSW,139,Parkes,1076,Bugaldie,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1076,Bugaldie,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1076,Bugaldie,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1076,Bugaldie,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,2
NSW,139,Parkes,1076,Bugaldie,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,0
NSW,139,Parkes,1076,Bugaldie,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,139,Parkes,1076,Bugaldie,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,139,Parkes,1076,Bugaldie,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,139,Parkes,1076,Bugaldie,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,139,Parkes,1076,Bugaldie,V,18576,0,V Ticket Votes,,0
NSW,139,Parkes,1076,Bugaldie,V,17217,1,"TINYOW, Walter",,0
NSW,139,Parkes,1076,Bugaldie,V,17218,2,"CHAN, Maria",,0
NSW,139,Parkes,1076,Bugaldie,W,18580,0,W Ticket Votes,Labor,6
NSW,139,Parkes,1076,Bugaldie,W,17476,1,"ARBIB, Mark",Labor,0
NSW,139,Parkes,1076,Bugaldie,W,17477,2,"CAMERON, Doug",Labor,0
NSW,139,Parkes,1076,Bugaldie,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,139,Parkes,1076,Bugaldie,W,17479,4,"ESBER, Pierre",Labor,0
NSW,139,Parkes,1076,Bugaldie,W,17481,5,"SEATON, Fiona",Labor,0
NSW,139,Parkes,1076,Bugaldie,W,17482,6,"JAMES, Pauline",Labor,0
NSW,139,Parkes,1076,Bugaldie,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,139,Parkes,1076,Bugaldie,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,139,Parkes,1076,Bugaldie,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,139,Parkes,1076,Bugaldie,Y,18598,0,Y Ticket Votes,Carers Alliance,0
NSW,139,Parkes,1076,Bugaldie,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,139,Parkes,1076,Bugaldie,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,139,Parkes,1076,Bugaldie,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,139,Parkes,1076,Bugaldie,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,139,Parkes,1076,Bugaldie,UG,18493,1,"NADAS, Paula",Independent,0
NSW,139,Parkes,1076,Bugaldie,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,139,Parkes,1076,Bugaldie,UG,17837,3,"NERO, Silvana",Independent,0
NSW,139,Parkes,1076,Bugaldie,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,139,Parkes,1076,Bugaldie,ZZ,0,99,INFORMAL,,0
NSW,139,Parkes,1077,Bullarah,A,18583,0,A Ticket Votes,Liberal/Nationals,44
NSW,139,Parkes,1077,Bullarah,A,17820,1,"COONAN, Helen",Liberal,0
NSW,139,Parkes,1077,Bullarah,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,139,Parkes,1077,Bullarah,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,139,Parkes,1077,Bullarah,A,17823,4,"LEES, Murray",Nationals,0
NSW,139,Parkes,1077,Bullarah,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,139,Parkes,1077,Bullarah,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,139,Parkes,1077,Bullarah,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,139,Parkes,1077,Bullarah,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,139,Parkes,1077,Bullarah,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,139,Parkes,1077,Bullarah,C,18582,0,C Ticket Votes,Family First,1
NSW,139,Parkes,1077,Bullarah,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,139,Parkes,1077,Bullarah,C,17819,2,"GRAY, Kathy",Family First,0
NSW,139,Parkes,1077,Bullarah,D,18596,0,D Ticket Votes,Pauline,0
NSW,139,Parkes,1077,Bullarah,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,139,Parkes,1077,Bullarah,D,18499,2,"CARTER, John E",Pauline,0
NSW,139,Parkes,1077,Bullarah,E,18593,0,E Ticket Votes,Climate Change Coalition,0
NSW,139,Parkes,1077,Bullarah,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,139,Parkes,1077,Bullarah,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,139,Parkes,1077,Bullarah,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,139,Parkes,1077,Bullarah,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,139,Parkes,1077,Bullarah,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,139,Parkes,1077,Bullarah,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,139,Parkes,1077,Bullarah,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,139,Parkes,1077,Bullarah,G,18581,0,G Ticket Votes,The Greens,6
NSW,139,Parkes,1077,Bullarah,G,17433,1,"NETTLE, Kerry",The Greens,0
NSW,139,Parkes,1077,Bullarah,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,139,Parkes,1077,Bullarah,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,139,Parkes,1077,Bullarah,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,139,Parkes,1077,Bullarah,G,17441,5,"HO, Christina",The Greens,0
NSW,139,Parkes,1077,Bullarah,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,139,Parkes,1077,Bullarah,H,18599,0,H Ticket Votes,What Women Want (Australia),1
NSW,139,Parkes,1077,Bullarah,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,139,Parkes,1077,Bullarah,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,139,Parkes,1077,Bullarah,I,18584,0,I Ticket Votes,LDP,0
NSW,139,Parkes,1077,Bullarah,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,139,Parkes,1077,Bullarah,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,139,Parkes,1077,Bullarah,J,18579,0,J Ticket Votes,,0
NSW,139,Parkes,1077,Bullarah,J,17444,1,"BRYCE, Ian R",,0
NSW,139,Parkes,1077,Bullarah,J,17445,2,"AUGUST, John P",,0
NSW,139,Parkes,1077,Bullarah,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,139,Parkes,1077,Bullarah,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,139,Parkes,1077,Bullarah,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,139,Parkes,1077,Bullarah,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,139,Parkes,1077,Bullarah,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,139,Parkes,1077,Bullarah,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,139,Parkes,1077,Bullarah,M,18592,0,M Ticket Votes,Democrats,0
NSW,139,Parkes,1077,Bullarah,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,139,Parkes,1077,Bullarah,M,18289,2,"KING, David",Democrats,0
NSW,139,Parkes,1077,Bullarah,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,139,Parkes,1077,Bullarah,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,0
NSW,139,Parkes,1077,Bullarah,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,139,Parkes,1077,Bullarah,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,139,Parkes,1077,Bullarah,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,1
NSW,139,Parkes,1077,Bullarah,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,139,Parkes,1077,Bullarah,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,139,Parkes,1077,Bullarah,P,18597,0,P Ticket Votes,,0
NSW,139,Parkes,1077,Bullarah,P,18500,1,"WOLDRING, Klaas",,0
NSW,139,Parkes,1077,Bullarah,P,18501,2,"BRADLEY, Max",,0
NSW,139,Parkes,1077,Bullarah,Q,18594,0,Q Ticket Votes,The Fishing Party,1
NSW,139,Parkes,1077,Bullarah,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,139,Parkes,1077,Bullarah,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,139,Parkes,1077,Bullarah,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1077,Bullarah,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1077,Bullarah,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1077,Bullarah,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1077,Bullarah,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1077,Bullarah,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,139,Parkes,1077,Bullarah,S,18586,0,S Ticket Votes,One Nation,1
NSW,139,Parkes,1077,Bullarah,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,139,Parkes,1077,Bullarah,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,139,Parkes,1077,Bullarah,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,139,Parkes,1077,Bullarah,S,17830,4,"FREW, Andy",One Nation,0
NSW,139,Parkes,1077,Bullarah,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1077,Bullarah,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1077,Bullarah,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,139,Parkes,1077,Bullarah,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,1
NSW,139,Parkes,1077,Bullarah,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,0
NSW,139,Parkes,1077,Bullarah,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,139,Parkes,1077,Bullarah,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,139,Parkes,1077,Bullarah,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,139,Parkes,1077,Bullarah,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,139,Parkes,1077,Bullarah,V,18576,0,V Ticket Votes,,0
NSW,139,Parkes,1077,Bullarah,V,17217,1,"TINYOW, Walter",,0
NSW,139,Parkes,1077,Bullarah,V,17218,2,"CHAN, Maria",,0
NSW,139,Parkes,1077,Bullarah,W,18580,0,W Ticket Votes,Labor,4
NSW,139,Parkes,1077,Bullarah,W,17476,1,"ARBIB, Mark",Labor,0
NSW,139,Parkes,1077,Bullarah,W,17477,2,"CAMERON, Doug",Labor,0
NSW,139,Parkes,1077,Bullarah,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,139,Parkes,1077,Bullarah,W,17479,4,"ESBER, Pierre",Labor,0
NSW,139,Parkes,1077,Bullarah,W,17481,5,"SEATON, Fiona",Labor,0
NSW,139,Parkes,1077,Bullarah,W,17482,6,"JAMES, Pauline",Labor,0
NSW,139,Parkes,1077,Bullarah,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,139,Parkes,1077,Bullarah,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,139,Parkes,1077,Bullarah,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,139,Parkes,1077,Bullarah,Y,18598,0,Y Ticket Votes,Carers Alliance,0
NSW,139,Parkes,1077,Bullarah,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,139,Parkes,1077,Bullarah,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,139,Parkes,1077,Bullarah,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,139,Parkes,1077,Bullarah,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,139,Parkes,1077,Bullarah,UG,18493,1,"NADAS, Paula",Independent,0
NSW,139,Parkes,1077,Bullarah,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,139,Parkes,1077,Bullarah,UG,17837,3,"NERO, Silvana",Independent,0
NSW,139,Parkes,1077,Bullarah,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,139,Parkes,1077,Bullarah,ZZ,0,99,INFORMAL,,0
NSW,139,Parkes,1079,Burren Junction,A,18583,0,A Ticket Votes,Liberal/Nationals,102
NSW,139,Parkes,1079,Burren Junction,A,17820,1,"COONAN, Helen",Liberal,0
NSW,139,Parkes,1079,Burren Junction,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,139,Parkes,1079,Burren Junction,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,139,Parkes,1079,Burren Junction,A,17823,4,"LEES, Murray",Nationals,0
NSW,139,Parkes,1079,Burren Junction,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,139,Parkes,1079,Burren Junction,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,139,Parkes,1079,Burren Junction,B,18587,0,B Ticket Votes,Citizens Electoral Council,1
NSW,139,Parkes,1079,Burren Junction,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,139,Parkes,1079,Burren Junction,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,139,Parkes,1079,Burren Junction,C,18582,0,C Ticket Votes,Family First,0
NSW,139,Parkes,1079,Burren Junction,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,139,Parkes,1079,Burren Junction,C,17819,2,"GRAY, Kathy",Family First,0
NSW,139,Parkes,1079,Burren Junction,D,18596,0,D Ticket Votes,Pauline,2
NSW,139,Parkes,1079,Burren Junction,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,139,Parkes,1079,Burren Junction,D,18499,2,"CARTER, John E",Pauline,0
NSW,139,Parkes,1079,Burren Junction,E,18593,0,E Ticket Votes,Climate Change Coalition,1
NSW,139,Parkes,1079,Burren Junction,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,139,Parkes,1079,Burren Junction,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,139,Parkes,1079,Burren Junction,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,139,Parkes,1079,Burren Junction,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
